year,role,count
2023,annotation_set,2
2023,benchmark,135
2023,evaluation_set,151
2023,instruction_tuning_data,2
2023,introduced_dataset,1548
2023,knowledge_resource,16
2023,lexical_resource,18
2023,other,9
2023,pretraining_corpus,21
2023,shared_task_dataset,35
2023,training_data,256
2024,annotation_set,1
2024,benchmark,308
2024,evaluation_set,230
2024,fine-tuning,1
2024,instruction_tuning_data,17
2024,introduced_dataset,2684
2024,knowledge_resource,16
2024,lexical_resource,23
2024,other,14
2024,preference_data,2
2024,pretraining_corpus,12
2024,shared_task_dataset,45
2024,training_data,439
2025,benchmark,549
2025,evaluation_set,292
2025,instruction_tuning_data,28
2025,introduced_dataset,2825
2025,knowledge_resource,24
2025,lexical_resource,13
2025,other,13
2025,preference_data,6
2025,pretraining_corpus,14
2025,shared_task_dataset,32
2025,training_data,641
